Category,Average Price (USD)
"Recuerdos, Cotillon y Fiestas",29.337971698113204
"Arte, Papeleria y Merceria",44.95085714285714
"Ropa, Bolsas y Calzado",49.178067846607675
Alimentos y Bebidas,56.74139534883721
Belleza y Cuidado Personal,60.17091194968553
Animales y Mascotas,61.00377049180328
"Hogar, Muebles y Jardin",74.67671273445212
Bebes,74.96374999999999
Antiguedades y Colecciones,76.55727272727273
Otras Categorias,81.80022900763359
Construccion,89.42251851851853
Herramientas,99.59658088235294
Juegos y Juguetes,105.49755555555556
"Libros, Revistas y Comics",107.065
Instrumentos Musicales,107.67333333333333
Deportes y Fitness,108.76906392694063
Accesorios para Vehiculos,114.25307860262009
Industrias y Oficinas,121.02279069767441
Salud y Equipamiento Medico,122.33551282051282
Joyas y Relojes,131.66901960784313
Agro,135.402
Electrodomesticos,152.3760927152318
Consolas y Videojuegos,161.10232142857143
"Electronica, Audio y Video",170.1094387755102
Computacion,193.32677914110428
Camaras y Accesorios,197.19
Celulares y Telefonia,224.40374133949194
