Product,Product URL,Image URL,MXN,MXN to USD Rate,USD,Stars,Status,Seller,Marca,Brand Extraction Method,Description,Shipping,Discount,Reviews Count,Category,Sale Price USD,Short Name
Bomba De Calor Ruex Full Inverter 65000 Btus Wifi 220v 70000,https://articulo.mercadolibre.com.mx/MLM-3133166352-bomba-de-calor-ruex-full-inverter-65000-btus-wifi-220v-70000-_JM#polycard_client=offers&deal_print_id=3c25ee8a-3811-4d72-a2cc-2a9a14230bf4,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",46890,,2344.5,0.0,(2 disponibles),HYMINGENIERIA,RUEX,Strategy 2: JSON-LD script,,Free Shipping,5% OFF,0,"Hogar, Muebles y Jardín",2227.28,Bomba De Calor...
Cuatrimoto Italika Atv190 Gris,https://articulo.mercadolibre.com.mx/MLM-3362055812-cuatrimoto-italika-atv190-gris-_JM#polycard_client=offers&deal_print_id=214a038b-ec6d-4b7a-a279-a7eec52e12fc,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",49999,,2499.95,0.0,(+10 disponibles),Italika,Italika,Strategy 1: Brand link or title,"¡PILOTO! Tu moto será entregada activada para su uso. Por seguridad tu motocicleta viaja sin gasolina y con la batería desconectada, para utilizarla por primera vez deberás seguir los pasos que se señalan en el manual de preparación de acuerdo al modelo que adquiriste, además te recomendamos comprar previamente 2L de gasolina para que puedas poner a rodar tu motocicleta ITALIKA y te permita llegar a la gasolinera más cercana*******************************************************************************************************ANTES DE TU COMPRA. Envíanos un mensaje con tu Código Postal, Colonia, Municipio y Estado para validar si podemos enviar tu moto a tu ubicación*******************************************************************************************************DESPUES DE TU COMPRA. Te mandaremos un link, a través de este chat, para que valides o modifiques los datos de envío y llenes un formulario con los datos de facturación (Tipo de RFC, RFC, Uso de CFDI, Régimen Fiscal Tributario, Nombre completo o razón social, Dirección completa). Tu factura es el único documento que te avala como propietario, y es necesaria para todo trámite que realices de tu motocicleta. Para proceder con el envío necesitamos generar tu factura.IMPORTANTE. Por favor envíanos esta información a más tardar 3 días naturales después de tu compra, de lo contrario, generaremos la factura con los datos que proporcionaste en el proceso de compra y con RFC genérico*******************************************************************************************************GARANTÍA. La garantía de tu motocicleta ITALIKA se activa desde la fecha de facturación, es decir que al llegar a tu domicilio ya se encuentra activada. Es importante consultes esta fecha en tu factura* ya que a partir de entonces inician los días para que realices su primer servicio, el cual debe realizarse al cumplir el primer mes o al llegar a los 500 KM, lo que suceda primero. Para los modelos que no cuentan con odómetro como las cuatrimotos (ATV) el periodo de garantía tiene una duración de 6 meses a partir de la fecha de venta. Te recomendamos que, una vez que actives tu motocicleta, te acerques a tu CESIT mas cercano para que revisen los 10 puntos de seguridad de tu vehiculo de forma gratuita. Para mayor detalle consulta tu poliza de garantía.*******************************************************************************************************FACTURACIÓN. Asegúrate de que el número de serie de tu factura coincida con el de tu motocicleta. En caso de que tu factura cuente con datos incorrectos es necesario que te comuniques con nosotros por medio del chat de tu compra para solicitar la corrección, ten a la mano tu constancia de situación fiscal.Las modificaciones solo aplican para el mismo mes de la compra o las siguientes 72 horas de haberse emitido la factura. Los cambios de propietario no aplican como refacturación.*******************************************************************************************************ENVÍO. CDMX y Zona Metropolitana 10 días, Resto de la República 15 días después de tu compra. Para agilizar el proceso de envío debes mandarnos los datos para tu factura lo antes posible. Tu moto hasta la puerta de tu casa*******************************************************************************************************ENTREGA DE TU MOTO ITALIKA. Cuando tu moto ITALIKA salga de nuestro almacén recibirás la notificación de "" ITALIKA en camino"" vía WhatsApp donde te informaremos la fecha promesa de entrega en tu domicilio.IMPORTANTE: Para la entrega de tu ITALIKA es indispensable presentar tu identificación oficial vigente, INE o pasaporte (en caso de Nacionalidad Mexicana) y Tarjeta de Identidad o pasaporte (en caso de Nacionalidad Extranjera), así como una copia legible de la misma, que deberás entregar al momento de recibir tu pedido. En caso de que tu ITALIKA la reciba otra persona, debes llenar e imprimir el formato “Entrega a terceros” y entregarlo firmado junto con la copia legible de tu identificación además de la identificación en original y copia de quien recibe.*******************************************************************************************************POLÍTICA DE CANCELACIÓN Y DEVOLUCIÓN: Tendrás un plazo máximo de 5 días posteriores a la compra y/o generación del pedido para revocar tu compra sin responsabilidad alguna, una vez embarcado el producto no procede la cancelación. En caso de que proceda una devolución, el pago del envío será realizado por el Cliente y solo se reembolsará en el caso de que la motocicleta tenga defecto de fábrica. Las restricciones e información complementaria son enviadas al momento de la compra.",Free Shipping,11% OFF,0,Accesorios para Vehículos,2224.96,Cuatrimoto Italika Atv190...
Depiladora Triple Diodo + Laser Yag + 20kg Gel Conductor,https://articulo.mercadolibre.com.mx/MLM-2038693433-depiladora-triple-diodo-laser-yag-20kg-gel-conductor-_JM#polycard_client=offers&deal_print_id=57332279-ab04-487b-8731-3718a5bf8b3e,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",39800,,1990.0,0.0,Available,Beautyfy lab,camipaf,Strategy 2: JSON-LD script,"Láser Triple Diodo + Láser YAG 808 - Tecnología Avanzada para Depilación y Rejuvenecimiento¡Descubre lo último en tecnología estética con nuestro láser triple diodo más láser YAG, ! Diseñado para ofrecer tratamientos de depilación y rejuvenecimiento eficaces y seguros, este equipo combina lo mejor de dos tecnologías líderes:Láser Triple Diodo nmIdeal para depilación definitiva, el láser de triple diodo trabaja en una longitud de onda de 808 nm, (532, 755, 1064) lo que permite penetrar profundamente en el folículo piloso sin dañar la piel circundante. Es adecuado para todo tipo de piel, incluyendo las más oscuras, y reduce el crecimiento del vello de manera rápida y duradera.Láser YAG 1064 nmPerfecto para tratamientos vasculares y de rejuvenecimiento facial, el láser YAG penetra en las capas más profundas de la piel, tratando problemas como manchas, venas visibles y el envejecimiento cutáneo. Su versatilidad también lo convierte en una excelente opción para la eliminación de tatuajes.Tratamientos más comunes:Depilación definitiva en todo tipo de piel.Hollywood PeelTratamientos para eliminar venas varicosas.Rejuvenecimiento facial.Reducción de manchas y pigmentaciones.Eliminación de tatuajes.Este equipo es vendido y respaldado por BEAUTYFY, tienda oficial en Mercado Libre, garantizando calidad y confianza en cada compra.¡Capacitación Incluida!Si necesitas aprender a utilizar la máquina, ofrecemos un curso especializado por un pequeño monto de recuperación. Además, estamos ofreciendo un certificado avalado por la STPS, ¡completamente gratis con tu capacitación! Aprovecha esta oportunidad para dar un valor extra a tu inversión y ofrecer un servicio profesional a tus clientes.Tienda Oficial en México, Facturamos tu compra válida ante el SAT ¡envío inmediato!",Free Shipping,15% OFF,0,Belleza y Cuidado Personal,1691.5,Depiladora Triple Diodo...
Motocicleta Doble Propósito Italika Dm200 Azul,https://articulo.mercadolibre.com.mx/MLM-2109608963-motocicleta-doble-proposito-italika-dm200-azul-_JM#polycard_client=offers&deal_print_id=214a038b-ec6d-4b7a-a279-a7eec52e12fc,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",37499,,1874.95,4.5,(+50 disponibles),Italika,Italika,Strategy 1: Brand link or title,"Define tu camino y supera cualquier obstáculo con una de las motocicletas doble propósito que tenemos para ti.La motocicleta doble propósito DM200 tiene un motor de 4 tiempos con una potencia máxima de 15.5 Hp @ 8500 RPM, una cilindrada de 198 CC y un torque máximo de 16 Nm @ 7500 RPM.Su sistema de arranque es eléctrico y de pedal muy fácil de utilizar, tiene transmisión estándar, frenos delanteros de disco sencillo y traseros de tambor. Su suspensión delantera es de horquilla telescópica y la trasera es mono shock, mismas que te brindan mayor adherencia, control y confort al manejar.Esta sensacional moto alcanza una velocidad máxima de hasta 110 kilómetros por hora, cuenta con un tanque con capacidad de 11 litros y un rendimiento de combustible de 26 kilómetros por litro, además soporta un peso de hasta 150 kilos.Cuenta con iluminación de halógeno y puños con luz LED para brindarte mayor visibilidad y seguridad durante tu conducción.Sin duda esta motocicleta es perfecta para cualquier camino que elijas recorrer. Adquiérela ya y descubre todos los beneficios que tiene para ti. Se recomienda el uso de casco y equipo de seguridad.¡PILOTO! Tu moto será entregada activada para su uso. Por seguridad tu motocicleta viaja sin gasolina y con la batería desconectada, para utilizarla por primera vez deberás seguir los pasos que se señalan en el manual de preparación de acuerdo al modelo que adquiriste, además te recomendamos comprar previamente 2L de gasolina para que puedas poner a rodar tu motocicleta ITALIKA y te permita llegar a la gasolinera más cercana*******************************************************************************************************ANTES DE TU COMPRA. Envíanos un mensaje con tu Código Postal, Colonia, Municipio y Estado para validar si podemos enviar tu moto a tu ubicación*******************************************************************************************************DESPUES DE TU COMPRA. Te mandaremos un link, a través de este chat, para que valides o modifiques los datos de envío y llenes un formulario con los datos de facturación (Tipo de RFC, RFC, Uso de CFDI, Régimen Fiscal Tributario, Nombre completo o razón social, Dirección completa). Tu factura es el único documento que te avala como propietario, y es necesaria para todo trámite que realices de tu motocicleta. Para proceder con el envío necesitamos generar tu factura.IMPORTANTE. Por favor envíanos esta información a más tardar 3 días naturales después de tu compra, de lo contrario, generaremos la factura con los datos que proporcionaste en el proceso de compra y con RFC genérico*******************************************************************************************************GARANTÍA. La garantía de tu motocicleta ITALIKA se activa desde la fecha de facturación, es decir que al llegar a tu domicilio ya se encuentra activada. Es importante consultes esta fecha en tu factura* ya que a partir de entonces inician los días para que realices su primer servicio, el cual debe realizarse al cumplir el primer mes o al llegar a los 500 KM, lo que suceda primero. Para los modelos que no cuentan con odómetro como las cuatrimotos (ATV) el periodo de garantía tiene una duración de 6 meses a partir de la fecha de venta. Te recomendamos que, una vez que actives tu motocicleta, te acerques a tu CESIT mas cercano para que revisen los 10 puntos de seguridad de tu vehiculo de forma gratuita. Para mayor detalle consulta tu poliza de garantía.*******************************************************************************************************FACTURACIÓN. Asegúrate de que el número de serie de tu factura coincida con el de tu motocicleta. En caso de que tu factura cuente con datos incorrectos es necesario que te comuniques con nosotros por medio del chat de tu compra para solicitar la corrección, ten a la mano tu constancia de situación fiscal.Las modificaciones solo aplican para el mismo mes de la compra o las siguientes 72 horas de haberse emitido la factura. Los cambios de propietario no aplican como refacturación.*******************************************************************************************************ENVÍO. CDMX y Zona Metropolitana 10 días, Resto de la República 15 días después de tu compra. Para agilizar el proceso de envío debes mandarnos los datos para tu factura lo antes posible. Tu moto hasta la puerta de tu casa*******************************************************************************************************ENTREGA DE TU MOTO ITALIKA. Cuando tu moto ITALIKA salga de nuestro almacén recibirás la notificación de "" ITALIKA en camino"" vía WhatsApp donde te informaremos la fecha promesa de entrega en tu domicilio.IMPORTANTE: Para la entrega de tu ITALIKA es indispensable presentar tu identificación oficial vigente, INE o pasaporte (en caso de Nacionalidad Mexicana) y Tarjeta de Identidad o pasaporte (en caso de Nacionalidad Extranjera), así como una copia legible de la misma, que deberás entregar al momento de recibir tu pedido. En caso de que tu ITALIKA la reciba otra persona, debes llenar e imprimir el formato “Entrega a terceros” y entregarlo firmado junto con la copia legible de tu identificación además de la identificación en original y copia de quien recibe.*******************************************************************************************************POLÍTICA DE CANCELACIÓN Y DEVOLUCIÓN: Tendrás un plazo máximo de 5 días posteriores a la compra y/o generación del pedido para revocar tu compra sin responsabilidad alguna, una vez embarcado el producto no procede la cancelación. En caso de que proceda una devolución, el pago del envío será realizado por el Cliente y solo se reembolsará en el caso de que la motocicleta tenga defecto de fábrica. Las restricciones e información complementaria son enviadas al momento de la compra.",Free Shipping,16% OFF,8,Accesorios para Vehículos,1574.96,Motocicleta Doble Propósito...
Apple iPhone 15 Pro Max (512 GB) - Titanio Natural - Distribuidor Autorizado,https://articulo.mercadolibre.com.mx/MLM-2163329073-apple-iphone-15-pro-max-512-gb-titanio-natural-distribuidor-autorizado-_JM#polycard_client=offers&deal_print_id=6ac6b971-a2ee-4fc9-b2bb-152715d8a27b&wid=MLM2163329073&sid=offers,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",33499,,1674.95,4.7,(+50 disponibles),MERCADOLIBRE ELECTRONICA_MX,MERCADOLIBRE ELECTRONICA_MX,Strategy 1: Brand link or title,"iPhone 15 Pro Max. Forjado en titanio y equipado con el revolucionario chip A17 Pro, un Botón de Acción personalizable y el sistema de cámaras más potente en un iPhone.FORJADO EN TITANIO — El iPhone 15 Pro Max tiene un diseño resistente y ligero, con titanio de calidad aeroespacial y parte posterior de vidrio mate texturizado. Frente de Ceramic Shield, más duro que el vidrio más duro de cualquier smartphone. Y resistencia a las salpicaduras, al agua y al polvo. PANTALLA AVANZADA — La pantalla Super Retina XDR de 6.7 pulgadas con ProMotion aumenta la frecuencia de actualización hasta 120 Hz cuando necesitas el máximo rendimiento gráfico. La Dynamic Island muestra alertas y Actividades en Vivo al instante. Y la pantalla siempre activa te permite tener información siempre a la vista sin mover un dedo. REVOLUCIONARIO CHIP A17 PRO — Con el GPU de nivel pro, los juegos móviles son más inmersivos, con escenarios llenos de detalles y personajes más realistas. Y el chip A17 Pro es tan eficiente que la batería es capaz de seguirte el ritmo todo el día.  SISTEMA DE CÁMARAS PRO — Multiplica tus opciones de encuadre con 7 lentes pro. Toma fotos en superalta resolución con más colores y detalles que nunca con la cámara gran angular de 48 MP. Y captura primeros planos supernítidos desde más lejos con la cámara teleobjetivo de 5x del iPhone 15 Pro Max.  BOTÓN DE ACCIÓN PERSONALIZABLE — El Botón de Acción te lleva volando a tu funcionalidad favorita, como el modo Silencio, Cámara, Nota de Voz o Atajos. Configúralo con la que quieras usar y mantenlo presionado para que haga su magia.  CONEXION ES MUY PRO — El nuevo conector USB-C te permite cargar tu Mac o iPad con el mismo cable que usas para cargar el iPhone 15 Pro Max. Con USB 3, las velocidades de transferencia pisan el acelerador a fondo. Y con la conexión Wi‐Fi 6E, podrás descargar archivos hasta el doble de rápido.  FUNCIONALIDAD ESENCIAL DE SEGURIDAD — Con Detección de Choques, el iPhone puede identificar si sufres un accidente de auto grave y pedir ayuda cuando tú no puedes. INNOVACIONES QUE MARCAN LA DIFERENCIA — El iPhone cuenta con tecnologías de privacidad que te ayudan a mantener el control de tus datos. Está fabricado con más materiales reciclados para reducir su impacto medioambiental. Y viene con funcionalidades integradas que lo hacen accesible para todo el mundo.Aviso legal1. El iPhone 15, iPhone 15 Plus, iPhone 15 Pro y iPhone 15 Pro Max son resistentes a las salpicaduras, al agua y al polvo, y fueron probados en condiciones de laboratorio controladas, con una clasificación IP68 según la norma IEC 60529 (hasta 30 minutos a una profundidad máxima de 6 metros). La resistencia a las salpicaduras, al agua y al polvo no es una condición permanente, y podría disminuir como consecuencia del uso normal. No intentes cargar un iPhone mojado; consulta el manual del usuario para ver las instrucciones de limpieza y secado. La garantía no cubre daños producidos por líquidos.2. La pantalla tiene las esquinas redondeadas. Si se mide en forma de rectángulo, la pantalla tiene 6.12 pulgadas (iPhone 15 Pro y iPhone 15) o 6.69 pulgadas (iPhone 15 Pro Max y iPhone 15 Plus) en diagonal. El área real de visualización es menor.3. La duración de la batería varía según el uso y la configuración. Para obtener más información, visita apple.com/mx/batteries.4. El iPhone 15 y el iPhone 15 Pro pueden detectar si sufres un accidente de auto grave y pedir ayuda. Requiere conexión celular o llamadas por Wi-Fi.",Free Shipping,11% OFF,1307,Celulares y Telefonía,1490.71,Apple iPhone 15...
Motocicleta De Trabajo Italika Ft250 Ts Rojo Con Negro,https://articulo.mercadolibre.com.mx/MLM-2111662649-motocicleta-de-trabajo-italika-ft250-ts-rojo-con-negro-_JM#polycard_client=offers&deal_print_id=d996a500-dc2d-4195-9cea-1e5fb62f2c43,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",44999,,2249.95,4.9,(5 disponibles),Italika,Italika,Strategy 1: Brand link or title,"Descubre toda la variedad de motos Italika que tenemos en nuestra tienda en línea. Lo último en tecnología con precios sorprendentes especialmente para ti.La moto de trabajo FT250 TS tiene un motor de 4 tiempos monocilíndrico con una potencia máxima de 18 Hp@8500 RPM, una cilindrada de 250 CC y un torque máximo de 16.6 N-m@6500 RPM.Su sistema de arranque es eléctrico y de pedal muy fácil de utilizar, tiene transmisión estándar, frenos delanteros de disco y traseros de tambor. Su suspensión delantera es de horquilla telescópica y la trasera es basculante doble amortiguador, mismas que te brindan mayor adherencia, control y confort al manejar.Esta es sin duda una de las mejores motos, alcanza una velocidad máxima de hasta 120 kilómetros por hora, cuenta con un tanque con capacidad de 16 litros y un rendimiento de combustible de 24 kilómetros por litro, además soporta un peso de hasta 150 kilos.Disfruta de esta extraordinaria compañera para largas jornadas de trabajo, al ser cómoda y resistente. Adquiérela ya y descubre todos los beneficios que tiene para ti. Se recomienda el uso de casco y equipo de seguridad.",Free Shipping,35% OFF,7,Accesorios para Vehículos,1462.47,Motocicleta De Trabajo...
Laptop Gamer Msi Katana15.6 Ci7-13620h/rtx4070/16gb/1tb Ssd,https://articulo.mercadolibre.com.mx/MLM-3366902988-laptop-gamer-msi-katana156-ci7-13620hrtx407016gb1tb-ssd-_JM#polycard_client=offers&deal_print_id=8f90748a-733d-4d04-9f60-4e50a5ff3328&wid=MLM3366902988&sid=offers,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",43499,,2174.95,5.0,(+10 disponibles),MSI Gaming,MSI,Strategy 1: Brand link or title,Aviso legal• La duración de la batería depende del uso que se le dé al producto.,Free Shipping,33% OFF,2,Computación,1457.22,Laptop Gamer Msi...
Canon EF 100 mm f/2.8L Macro Is Usm Canon,https://articulo.mercadolibre.com.mx/MLM-2044654257-canon-ef-100-mm-f28l-macro-is-usm-canon-_JM#polycard_client=offers&deal_print_id=24ab6c5e-064d-445c-8f9e-327d82ba34b5&wid=MLM2044654257&sid=offers,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",28999,,1449.95,5.0,Available,Tienda Canon,Canon,Strategy 1: Brand link or title,"El objetivo EF 100 mm f/2,8L Macro IS USM de Canon está diseñado principalmente para tomas de primeros planos, ya que es un teleobjetivo corto versátil de la serie L, que también es adecuado para retratos y otros sujetos de rango medio. Al igual que un objetivo macro, este objetivo de 100 mm ofrece una ampliación máxima de 1:1 en tamaño real y una distancia mínima de enfoque de 30 cm.   Cuenta con un estabilizador de imagen que minimiza el movimiento de la cámara en dos puntos con un aumento total de 1:1, o hasta cuatro puntos con aumentos más bajos para obtener fotografías más nítidas. Además, tiene un enfoque automático rápido, silencioso y preciso, junto con una cancelación de enfoque manual permanente.   En cuanto a sus propiedades ópticas, se ha introducido un elemento de dispersión ultrabaja para controlar las franjas de color y las aberraciones cromáticas, y se ha aplicado un revestimiento Super Spectra para suprimir los reflejos y los fantasmas para mejorar el contraste y la fidelidad del color. Además, al igual que un objetivo de la serie L, este objetivo macro Canon 100 mm f/2,8L IS USM está sellado contra la intemperie para trabajar en condiciones adversas.   Este es el primer objetivo macro de Canon que incorpora la tecnología híbrida de estabilización de imagen de Canon. El híbrido compensa eficazmente el movimiento angular y el desplazamiento de la cámara durante la toma de primeros planos. El objetivo se desarrolló para ampliar la gama de usuarios a la hora de tomar fotografías y permitir que una gama más amplia de usuarios puedan disfrutar fácilmente de la fotografía macro.   Distancia focal tele-macro  La cómoda distancia focal de 100 mm del objetivo EF 100 mm f/2,8L Macro IS USM de Canon permite una cómoda distancia de disparo entre la cámara y el sujeto, y reduce las posibilidades de interferencia al fotografiar la sombra más cercana que varía del foco.   Reproducción de imágenes a tamaño real  El objetivo permite un enfoque continuo de hasta 1:01 en tamaño real. Los tubos de extensión opcionales pueden aumentar esta relación para una ampliación aún mayor.   Calidad óptica Serie L  Como óptica de la serie L de Canon, el objetivo EF 100 mm f/2,8L Macro IS USM de Canon puede considerarse uno de los objetivos más nítidos, mejor construidos y resistentes a la intemperie disponibles para las cámaras réflex digitales Canon EOS.   Enfoque automático rápido y silencioso  Al incorporar un nuevo motor ultrasónico, Canon mejoró la velocidad y redujo los niveles de ruido del sistema de lentes con enfoque automático, además de permitir la anulación manual permanente.   Compatible con todas las cámaras Canon EOS   Características principales:  • El teleobjetivo prime corto se diseñó para las cámaras réflex digitales de fotograma completo con montura EF de Canon; sin embargo, también se puede utilizar con los modelos APS-C, donde proporciona una distancia focal equivalente a 160 mm.  • Ideal para la fotografía macro, este objetivo ofrece una ampliación máxima de 1:1 en tamaño completo y una distancia mínima de enfoque de 30 cm para trabajar con sujetos cercanos.  • Un elemento de dispersión ultrabaja (UD) reduce en gran medida las aberraciones cromáticas y la dispersión del color para lograr una mayor claridad y precisión del color.  • El revestimiento Super Spectra se ha aplicado a elementos individuales para minimizar los fantasmas y los reflejos y lograr un mayor contraste y neutralidad cromática cuando se trabaja en condiciones de iluminación intensa.  • Un estabilizador óptico de imagen ayuda a minimizar la apariencia de las vibraciones de la cámara para poder trabajar mejor en condiciones de poca luz y velocidades de obturación más lentas. La eficacia de este sistema compensa hasta dos puntos de vibración de la cámara con un aumento de 1:1, tres puntos con un aumento de 1:2, y cuatro puntos con un aumento inferior.  • Se emplea un motor ultrasónico tipo anillo (USM) y un diseño de enfoque interno para proporcionar un rendimiento de enfoque automático rápido, preciso y silencioso, así como una cancelación del enfoque manual permanente.  • El interruptor limitador de enfoque permite restringir el enfoque a tres rangos diferentes para lograr un rendimiento de enfoque más rápido: 30 cm a 4 cm, 4 cm de infinito y el rango completo de 30 cm de infinito.  • El diafragma redondeado de nueve láminas contribuye a una agradable calidad de desenfoque, lo que favorece el uso de técnicas de enfoque selectivo y de profundidad de campo reducida.  • Como miembro de la prestigiosa serie L, este objetivo está sellado contra el polvo y la humedad para funcionar en condiciones ambientales adversas.  • Está disponible un collarín giratorio para trípode opcional, que ofrece las ventajas de trabajar con el objetivo colocado encima de un trípode o monopié.   Canon EF 100 mm /2,8L Macro IS USM   Especificación Distancia focal: 100 mm  Apertura máxima: f/2.8  Apertura mínima: f/32  Montura del objetivo: Canon EF  Compatibilidad de formato: fotograma completo  Ángulo de visión: 24°  Distancia mínima: 30 cm  Ampliación máxima: 1x  Relación de reproducción macro: 1:1  Diseño óptico: 15 elementos en 12 grupos  Hojas de diafragma: 9, redondeadas  Tipo de enfoque: enfoque automático  Estabilización de imagen: sí  Cuello de trípode: extraíble y giratorio (opcional)  Tamaño del filtro: 67 mm (parte delantera)  Dimensiones (diámetro x ancho): 77,7 x 123 mm  Peso: 625 g   Artículos incluidos:  Canon EF 100 mm f/2,8L Macro IS USM  Carcasa frontal y trasera  Sombrilla Canon ET-73  Funda   Cámaras compatibles con montura EF:  Canon EOS 1D X Mark II/1D X Mark III/1D X Mark IV  Canon EOS 1Ds Mark III  Canon EOS 5D Mark II/5D Mark III/5D Mark IV  Canon EOS 5DS  Canon EOS 5DS R  Canon EOS 60D  Canon EOS 70D  Canon EOS 77D  Canon EOS 6D/6D Mark II  Canon EOS 7D/7D Mark II  Canon EOS 80D  Canon EOS 90D  Canon EOS Rebel SL1  Canon EOS Rebel SL2  Canon EOS Rebel SL3  Canon EOS Rebel T100  Canon EOS Rebel T2i  Canon EOS Rebel T3 /T3i  Canon EOS Rebel T3 /T3i Canon EOS Canon EOS Rebel T4/T4i  Canon EOS Rebel T5/T5i  Canon EOS Rebel T6/T6i/T6s  Canon EOS Rebel T7/T7+/T7i  Canon EOS Rebel T8i (850D)  Canon EOS C100/C100 Mark II  Canon EOS C200  Canon EOS C300/C300 Mark II/C300 Mark III  Canon EOS C500  Canon EOS C200 Canon EOS C300/C300 Mark II/C300 Mark III Canon EOS C500 Canon EOS C200 Canon EOS C300 Mark II/C300 Mark III 700  Blackmagic URSA/URSA mini/URSA Broadcast  Blackmagic Pocket Cinema Camera 4K/6K/6K Pro  Z CAM E2-F6/Z CAM E2-F8/E2-S6G  Entre otras cámaras con montura de objetivo EF de Canon",Free Shipping,6% OFF,1,Cámaras y Accesorios,1362.95,Canon EF 100...
Laptop Gamer Msi Cyborg 15 A13vf 15.6 Ci7 16gb 512gb Ssd Color Negro,https://articulo.mercadolibre.com.mx/MLM-3369902082-laptop-gamer-msi-cyborg-15-a13vf-156-ci7-16gb-512gb-ssd-color-negro-_JM#polycard_client=offers&deal_print_id=4736eaa9-ea6b-400d-9f2f-a5c178f4311d&wid=MLM3369902082&sid=offers,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",33699,,1684.95,4.5,(+20 disponibles),MSI Gaming,MSI,Strategy 1: Brand link or title,Aviso legal• La duración de la batería depende del uso que se le dé al producto.,Free Shipping,25% OFF,4,Computación,1263.71,Laptop Gamer Msi...
Hisense Pantalla Miniled De 75 75u8n Google Tv Works With Alexa 2024,https://articulo.mercadolibre.com.mx/MLM-3380521282-hisense-pantalla-miniled-de-75-75u8n-google-tv-works-with-alexa-2024-_JM#polycard_client=offers&deal_print_id=6cf1fc7f-aa9e-4522-8d4a-9efcd31919ca&wid=MLM3380521282&sid=offers,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",39800,,1990.0,5.0,(+20 disponibles),PC ONETIJ,PC ONETIJ,Strategy 1: Brand link or title,"Hisense es la marca n.º1 de Televisores en China y la 3.ª en electrodomésticos en el mundo. Fue reconocida con diferentes premios por sus altos estándares en innovación, tecnología, diseño y gestión de calidad. ¡Vive la experiencia Hisense!Con el Smart TV ULED MiniLED accederás a las aplicaciones donde se encuentran tus contenidos favoritos. Además, podrás navegar por Internet, interactuar en redes sociales y divertirte con videojuegos.Vive en 4KLa cantidad de pixeles que ofrece es 4 veces mayor que la Full HD, ¿el resultado? Escenas mucho más realistas y con un nivel de detalle increíble. Ahora vas a conocer una aventura de inmersión que no va a dejar de sorprenderte.",Free Shipping,37% OFF,3,"Electrónica, Audio y Video",1253.7,Hisense Pantalla Miniled...
